figure,dgp,T,c,paper,reproduced,difference,within_band
4,2,100,0.24,0.645021645021645,0.8095,0.16447835497835495,False
4,2,100,0.5,0.9891774891774892,0.9995,0.0103225108225109,True
4,3,500,0.0,0.0387931034482759,0.0355,-0.003293103448275901,True
4,3,500,0.01,0.6185344827586208,0.8474999999999999,0.22896551724137915,False
4,3,500,0.03,0.9935344827586208,1.0,0.006465517241379226,True
4,3,500,0.06,0.9935344827586208,1.0,0.006465517241379226,True
4,3,100,0.06,0.0129310344827586,1.0,0.9870689655172414,False
4,3,500,0.12,0.9935344827586208,1.0,0.006465517241379226,True
4,3,100,0.12,0.0150862068965517,1.0,0.9849137931034483,False
4,3,500,0.24,0.9935344827586208,1.0,0.006465517241379226,True
4,3,100,0.24,0.0129310344827586,1.0,0.9870689655172414,False
4,3,500,0.5,0.9956896551724138,1.0,0.004310344827586188,True
4,3,100,0.5,0.9956896551724138,1.0,0.004310344827586188,True
4,4,500,0.0,0.0193965517241379,0.046,0.0266034482758621,True
4,4,100,0.0,0.0366379310344827,0.05,0.013362068965517303,True
