,alignment,table,cause,effect,tau,lags,k,b,n_subsamples,statistic,paper_p,reproduced_p,difference,same_decision_5pct,same_decision_1pct
182,gold_offset,table3,usdgbp,gold,[0.10;0.90],1,5,129,3310,5.026211,0.0,0.0,0.0,True,True
183,gold_offset,table3,usdgbp,gold,[0.10;0.90],2,3,77,3362,2.477381,0.0,0.0,0.0,True,True
184,gold_offset,table3,usdgbp,gold,[0.10;0.90],2,4,103,3336,2.477381,0.0,0.0,0.0,True,True
185,gold_offset,table3,usdgbp,gold,[0.10;0.90],2,5,129,3310,2.477381,0.0,0.0,0.0,True,True
186,gold_offset,table3,usdgbp,gold,[0.10;0.90],3,3,77,3362,1.31122,0.0,0.0,0.0,True,True
187,gold_offset,table3,usdgbp,gold,[0.10;0.90],3,4,103,3336,1.31122,0.0,0.0,0.0,True,True
188,gold_offset,table3,usdgbp,gold,[0.10;0.90],3,5,129,3310,1.31122,0.0,0.0,0.0,True,True
189,gold_offset,table3,usdgbp,gold,0.10,1,3,77,3362,1.489426,0.011,0.0,-0.011,True,False
190,gold_offset,table3,usdgbp,gold,0.10,1,4,103,3336,1.489426,0.011,0.0,-0.011,True,False
191,gold_offset,table3,usdgbp,gold,0.10,1,5,129,3310,1.489426,0.011,0.0,-0.011,True,False
192,gold_offset,table3,usdgbp,gold,0.10,2,3,77,3362,0.837873,0.01,0.0,-0.01,True,False
193,gold_offset,table3,usdgbp,gold,0.10,2,4,103,3336,0.837873,0.01,0.0,-0.01,True,False
194,gold_offset,table3,usdgbp,gold,0.10,2,5,129,3310,0.837873,0.01,0.0,-0.01,True,False
195,gold_offset,table3,usdgbp,gold,0.10,3,3,77,3362,0.494186,0.006,0.0,-0.006,True,True
196,gold_offset,table3,usdgbp,gold,0.10,3,4,103,3336,0.494186,0.006,0.0,-0.006,True,True
197,gold_offset,table3,usdgbp,gold,0.10,3,5,129,3310,0.494186,0.006,0.0,-0.006,True,True
198,gold_offset,table3,usdgbp,gold,0.50,1,3,77,3362,0.510932,0.004,0.02439,0.02039,True,False
199,gold_offset,table3,usdgbp,gold,0.50,1,4,103,3336,0.510932,0.004,0.017086,0.013086,True,False
200,gold_offset,table3,usdgbp,gold,0.50,1,5,129,3310,0.510932,0.004,0.034139,0.030139,True,False
201,gold_offset,table3,usdgbp,gold,0.50,2,3,77,3362,0.361248,0.006,0.047591,0.041591,True,False
202,gold_offset,table3,usdgbp,gold,0.50,2,4,103,3336,0.361248,0.006,0.032974,0.026974,True,False
203,gold_offset,table3,usdgbp,gold,0.50,2,5,129,3310,0.361248,0.006,0.02719,0.02119,True,False
204,gold_offset,table3,usdgbp,gold,0.50,3,3,77,3362,0.290517,0.007,0.094587,0.087587,False,False
205,gold_offset,table3,usdgbp,gold,0.50,3,4,103,3336,0.290517,0.007,0.111511,0.104511,False,False
206,gold_offset,table3,usdgbp,gold,0.50,3,5,129,3310,0.290517,0.007,0.114502,0.107502,False,False
207,gold_offset,table3,usdgbp,gold,0.90,1,3,77,3362,1.516765,0.01,0.0,-0.01,True,False
208,gold_offset,table3,usdgbp,gold,0.90,1,4,103,3336,1.516765,0.01,0.0,-0.01,True,False
209,gold_offset,table3,usdgbp,gold,0.90,1,5,129,3310,1.516765,0.01,0.0,-0.01,True,False
210,gold_offset,table3,usdgbp,gold,0.90,2,3,77,3362,0.929541,0.007,0.0,-0.007,True,True
211,gold_offset,table3,usdgbp,gold,0.90,2,4,103,3336,0.929541,0.007,0.0,-0.007,True,True
212,gold_offset,table3,usdgbp,gold,0.90,2,5,129,3310,0.929541,0.007,0.0,-0.007,True,True
213,gold_offset,table3,usdgbp,gold,0.90,3,3,77,3362,0.485392,0.013,0.0,-0.013,True,False
214,gold_offset,table3,usdgbp,gold,0.90,3,4,103,3336,0.485392,0.013,0.0,-0.013,True,False
215,gold_offset,table3,usdgbp,gold,0.90,3,5,129,3310,0.485392,0.013,0.0,-0.013,True,False
